especie,area,perimetro,raiomedio,raiosd,raiomin,raiomax,eixomaior,ecentricidade
jabuticaba,1.66600397614314,4.65359477124183,0.74237908496732,0.141751633986928,0.528705882352941,1.02467973856209,1.90664052287582,0.785
jabuticaba,0.717031146454606,2.84967320261438,0.481385620915033,0.0938562091503268,0.338718954248366,0.673960784313726,1.25764705882353,0.8
jabuticaba,1.27236580516899,4.10457516339869,0.664078431372549,0.169803921568627,0.425908496732026,0.999503267973856,1.85877124183007,0.873
jabuticaba,2.31146454605699,5.28104575163399,0.87597385620915,0.184705882352941,0.628235294117647,1.25735947712418,2.3277908496732,0.826
jabuticaba,1.31742876076872,5.88235294117647,0.808732026143791,0.348653594771242,0.204209150326797,1.4236862745098,2.62533333333333,0.957
jabuticaba,1.46255798542081,5.35947712418301,0.790718954248366,0.284496732026144,0.356392156862745,1.3758954248366,2.32109803921569,0.929
jabuticaba,1.37574552683897,5.33333333333333,0.771006535947712,0.292967320261438,0.280444444444444,1.31696732026144,2.38833986928105,0.94
jabuticaba,1.39297548045063,4.49673202614379,0.70159477124183,0.193960784313725,0.357777777777778,1.09490196078431,1.95084967320261,0.866
jabuticaba,1.01060304837641,4.83660130718954,0.675058823529412,0.271241830065359,0.179267973856209,1.14912418300654,2.14232679738562,0.935
jabuticaba,1.55467196819085,4.99346405228758,0.760235294117647,0.245071895424837,0.344104575163399,1.20049673202614,2.2837908496732,0.913
jabuticaba,1.59310801855533,5.28104575163399,0.778274509803922,0.262901960784314,0.377960784313725,1.27186928104575,2.37581699346405,0.924
jabuticaba,1.52750165672631,4.88888888888889,0.749045751633987,0.225228758169935,0.396366013071895,1.16041830065359,2.18256209150327,0.897
jabuticaba,1.05036447978794,3.66013071895425,0.584156862745098,0.13121568627451,0.387058823529412,0.783686274509804,1.60758169934641,0.844
jabuticaba,1.16832339297548,4.05228758169935,0.648209150326797,0.197019607843137,0.376470588235294,0.98640522875817,1.92943790849673,0.907
jabuticaba,1.79721669980119,5.15032679738562,0.79681045751634,0.221254901960784,0.480679738562092,1.21704575163399,2.28928104575163,0.892
jabuticaba,1.2962226640159,5.77777777777778,0.813124183006536,0.336967320261438,0.184470588235294,1.46473202614379,2.39035294117647,0.937
jabuticaba,2.04771371769384,5.28104575163399,0.840444444444444,0.214300653594771,0.568653594771242,1.26454901960784,2.35092810457516,0.872
jabuticaba,1.71305500331345,4.75816993464052,0.760575163398693,0.138117647058824,0.573254901960784,1.06922875816993,1.89309803921569,0.768
jabuticaba,1.51225977468522,5.22875816993464,0.780366013071895,0.261803921568627,0.347346405228758,1.24156862745098,2.24590849673203,0.906
jabuticaba,1.18290258449304,4.94117647058824,0.701882352941177,0.273803921568627,0.276130718954248,1.19911111111111,2.29090196078431,0.951
jabuticaba,1.52551358515573,5.0718954248366,0.758901960784314,0.255424836601307,0.289202614379085,1.23492810457516,2.27150326797386,0.909
jabuticaba,1.48972829688535,4.60130718954248,0.719032679738562,0.19116339869281,0.420261437908497,1.07558169934641,1.9843660130719,0.856
jabuticaba,1.44201457919152,5.09803921568627,0.751607843137255,0.25443137254902,0.303424836601307,1.21898039215686,2.20786928104575,0.901
jabuticaba,1.45394300861498,4.70588235294118,0.725045751633987,0.211241830065359,0.402875816993464,1.13675816993464,2.10211764705882,0.896
jabuticaba,1.72564612326044,5.04575163398693,0.789385620915033,0.203137254901961,0.477751633986928,1.2161568627451,2.12028758169935,0.853
limao,2.24168030551009,5.34078212290503,0.860558659217877,0.237899441340782,0.548536312849162,1.37186592178771,2.40049162011173,0.888
limao,2.32569558101473,5.7877094972067,0.87877094972067,0.268938547486034,0.449608938547486,1.3934748603352,2.59162011173184,0.91
limao,1.36388434260775,4.24581005586592,0.662614525139665,0.195977653631285,0.354949720670391,1.04531843575419,1.93568715083799,0.9
limao,1.31369339879978,4.29050279329609,0.649832402234637,0.208357541899441,0.294815642458101,1.02715083798883,1.95492737430168,0.906
limao,0.926895799236225,3.79888268156425,0.583776536312849,0.193385474860335,0.326078212290503,0.970234636871508,1.65112849162011,0.915
limao,1.4189852700491,3.8659217877095,0.6411843575419,0.132558659217877,0.458569832402235,0.869653631284916,1.71671508379888,0.827
limao,1.79705400981997,4.11173184357542,0.72136312849162,0.110793296089385,0.559106145251397,0.954301675977654,1.78344134078212,0.749
limao,3.3000545553737,6.2122905027933,1.01059217877095,0.241050279329609,0.674011173184358,1.52140782122905,2.71372067039106,0.848
limao,1.54828150572831,4.53631284916201,0.705541899441341,0.202167597765363,0.426458100558659,1.12263687150838,2.01425698324022,0.892
limao,1.8696126568467,5.13966480446927,0.790435754189944,0.227731843575419,0.480424581005587,1.2511061452514,2.19162011173184,0.887
limao,2.71794871794872,5.49720670391061,0.902905027932961,0.186368715083799,0.57468156424581,1.29146368715084,2.35450279329609,0.818
limao,3.27495908346972,6.70391061452514,1.02576536312849,0.307731843575419,0.595575418994413,1.65086033519553,3.01883798882682,0.906
limao,5.38134206219313,8.29050279329609,1.31584357541899,0.345743016759777,0.890346368715084,2.05497206703911,3.59414525139665,0.871
limao,4.22313147845063,7.19553072625698,1.14871508379888,0.300916201117318,0.738391061452514,1.72480446927374,3.21848044692737,0.877
